phot,bg,filenumber,frame,numberInGroup,x,y,z,locprec,locprecz
4224.462,93.77872,1,6856,1,585.5239,282.2403,-175.6013,7.786023,25.57785
4496.426,78.85907,1,6918,1,377.5503,178.6708,-156.3908,6.917465,22.99234
12262.83,225.3719,1,6935,4,369.4923,303.4042,-174.0566,4.349994,14.2292
3886.688,73.41278,1,6947,1,679.4876,180.6095,-140.5947,7.459288,25.39423
2054.753,66.17499,1,6967,1,445.2448,212.3044,-140.6692,11.73378,41.82953
6776.523,227.126,1,6976,3,476.4325,238.4241,-134.4019,6.725955,23.28959
3796.488,94.69174,1,6974,1,485.6894,236.1648,-108.3351,7.808953,27.70966
2279.429,74.82448,1,6990,1,323.822,335.8091,-217.8154,12.71195,41.96802
4672.713,169.1542,1,7035,2,465.4091,245.5229,-109.7451,7.844649,28.67863
4039.238,89.51466,1,7036,1,561.425,341.1765,-213.1621,8.503692,27.4674
2342.696,72.80919,1,7118,1,599,231.6782,-37.26604,10.31038,36.35007
52002.89,724.2767,1,7158,11,611.6469,251.676,-151.8663,1.953275,6.292901
3574.766,54.97416,1,7148,1,614.4953,245.9686,-117.7382,7.250422,24.61783
2144.521,92.67156,1,7159,1,473.4031,181.7479,-15.41835,11.96724,42.73811
2442.77,89.59776,1,7163,1,444.9248,275.6235,-78.96365,10.70457,39.138
26831.33,360.5291,1,7202,6,372.5948,192.862,-124.5173,2.598952,8.512429
5156.897,126.2056,1,7242,2,485.8154,255.333,-154.2683,6.988839,23.91338
5594.049,72.02406,1,7292,1,735.8581,192.4259,-49.78077,5.456754,17.73993
14370.08,166.1303,1,7294,2,618.2433,199.2135,-156.2887,3.57131,11.42219
19502.95,453.8215,1,7399,6,404.6979,217.9437,-130.5067,3.471938,11.92906
2913.73,105.8717,1,7394,1,430.096,212.7384,-135.3961,10.14923,36.7047
2725.421,60.13589,1,7457,1,449.7486,251.0769,-70.02444,8.823151,30.51896
4118.307,146.1396,1,7479,2,321.7256,231.5311,-120.9177,8.377068,30.46375
4591.012,139.0024,1,7484,2,514.6937,282.9766,-60.66477,7.32375,25.41317
2538.404,67.27521,1,7508,1,347.7864,417.8885,-82.79662,9.568046,34.28008
2321.247,66.08199,1,7519,1,740.9803,223.2285,-214.4263,12.01791,39.46307
10759.89,224.8315,1,7540,3,563.1696,295.1743,-124.9361,4.582238,15.51223
6705.573,68.96701,1,7640,1,396.531,173.2661,-186.8355,5.350937,16.39252
2382.391,107.1824,1,7659,1,599.7491,220.7295,-48.94935,11.39395,41.75366
2281.927,54.42585,1,7670,1,284.589,250.3818,-231.6946,11.97223,38.24149
3233.889,72.71912,1,7682,1,482.0264,238.5527,-180.17,8.974442,29.40313
4530.093,134.2811,1,7762,2,358.7799,195.0324,-95.43723,7.467862,26.65613
